case_id,annotator_id,timestamp_utc,faithfulness,answer_relevance,question_coverage,calibration,overall_pass,notes
GEN_001,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,3,0,"Generic question about 'an apartment building', but the answer opens by asserting the listed measures 'are also recommended in your building's EPC' based on its class, Atemp and configuration, with no evidence retrieved; it also exposes raw schema names (epc_egienergiklass, epc_egenatemp). Underlying advice is accurate, hence faithfulness 6 rather than lower, but calibration 3 because the false grounding is the first sentence and is never hedged. Fails on the unfounded building claim. Same answer audited as Audit 20."
GEN_002,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,6,1,"Accurate account of what an energideklaration contains (class A-G, Atemp, floors, stairwells, delivered energy), but it presents internal DB column names as if they were fields a board would read off the certificate: epc_egienergiklass, epc_egenatemp, epc_egenantalplan, epc_egenantaltrapphus, epc_egenbyggnadstyp, and epc_egennybyggar, the last described as an 'owner-built flag' with no EPC counterpart. No building-specific claim is made, so it passes."
COMB_001,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,7,1,"Asks about 'our building' but answers purely generically ('To reduce a building's heating costs'), which is correct behaviour with no evidence retrieved; envelope, MVHR, boiler-replacement and zoning content is accurate. Calibration 7 rather than higher because it never states that it lacks data for the specific building - it simply generalises without saying so."
CLAR_001,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,9,1,"Model clarification behaviour: opens by naming the missing inputs (type, location, current condition, project goals) and offers a general framework explicitly as an interim, rather than dressing generic advice as personalised. Content accurate across compliance, energy, and indoor environment; no raw field names. Best-calibrated answer in the labeling set."
EKR_GEN_001,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correctly separates point-of-use conversion efficiency (~100%) from primary-energy and CO2 performance, flags the grid-mix dependency, and compares cost per kWh of useful heat against district heating, gas and heat pumps. Accurate and appropriately hedged throughout."
EKR_GEN_002,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,7,1,"Advice on timers, setback scheduling, draught-proofing and reflective panels is sound, but it recommends fitting 'a quality electronic or thermostatic radiator valve (TRV)' to direct-acting electric radiators - TRVs are hydronic components and cannot be fitted to an electric panel heater. The off-peak load-shifting tip also applies to storage heaters, not direct-acting ones, which cannot bank heat. Passes as broadly usable despite the category error."
EKR_GEN_003,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Accurate on every technical claim: condensing units recovering latent flue heat, heat-pump water heaters at COP 3-4, tankless seasonal efficiency above 90%, solar pre-heat loops, and exhaust-air heat recovery. Correctly structures the answer as source efficiency, then pre-heating, then distribution."
EKR_GEN_004,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correctly built around the three levers that matter in multi-dwelling DHW: generation efficiency, distribution losses (riser insulation, zoned circulation loops, on-demand recirculation pumps), and thermal storage with load shifting. Technically accurate and well scoped to apartment buildings rather than single homes."
EKR_GEN_005,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,8,1,"Accurate on the energideklaration: EPC equivalence, EPBD lineage, purpose for prospective buyers and tenants, and the trigger events (construction, sale, major renovation). The 'over 50 m2' threshold is right in effect, since buildings under 50 m2 useful floor area are exempt, though it is stated as a positive requirement rather than as the exemption it actually is."
EKR_GEN_006,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correct and complete definition covering envelope, HVAC, lighting and electrical, and renewables, with the important qualifier that comfort and functionality are maintained or improved rather than traded away - which is the part of the definition most often dropped."
