case_id,question,final_answer,contains_building_specific_claim,fabricated_fact_suspected,notes
BRF_ODEN_03_TEKNIKRINGEN_10B_001_ADVICE,What should my building prioritize to improve energy efficiency?,"To improve your building’s energy efficiency, you should adopt a systematic approach that targets both the building envelope and its technical systems. Even without specific EPC data, the following priorities will generally yield the greatest savings:

1. Commission an Energy Audit  
   – Have a certified energy consultant or auditor perform a detailed inspection (thermography, blower door test, utility‐bill analysis) to pinpoint your building’s greatest heat losses, air leaks and system inefficiencies.  
   – The audit will also help you establish baselines and prioritize measures by cost–benefit ratio.

2. Upgrade the Building Envelope  
   – Roof/Ceiling Insulation: In most buildings, up to 25–30 % of heat is lost through an under-insulated roof or attic. Adding or improving insulation can pay back quickly.  
   – Wall Insulation: External or internal wall insulation can reduce heat losses significantly, especially in older masonry or timber-frame constructions.  
   – Windows and Doors: Replace single-glazed frames with high-performance double or triple glazing. Ensure airtight seals around frames to eliminate drafts.

3. Improve Air Tightness and Ventilation  
   – Seal cracks around windows, doors, service penetrations and junctions between building elements.  
   – Install or upgrade mechanical ventilation with heat recovery (MVHR or FTX units) to ensure fresh air supply while retaining up to 90 % of outgoing heat.

4. Optimize Heating, Cooling and Domestic Hot Water Systems  
   – Replace old boilers or electric heaters with high-efficiency condensing boilers, heat pumps (ground‐source or air‐source) or district heating connections where available.  
   – Insulate hot‐water pipes and storage tanks to reduce distribution losses.  
   – Fit programmable or smart thermostats and implement zoning controls to avoid overheating or conditioning unoccupied areas.

5. Upgrade Lighting and Electrical Equipment  
   – Retrofit all lighting to LED technology. LEDs use 50–80 % less electricity than incandescent or fluorescent lamps.  
   – Install occupancy sensors and daylight dimmers in corridors, bathrooms and meeting rooms.  
   – When possible, choose ENERGY STAR or equivalent high‐efficiency appliances and office equipment.

6. Integrate Renewable Energy Sources  
   – Solar photovoltaic (PV) panels can offset a significant portion of your building’s electricity consumption.  
   – Consider solar thermal systems for domestic hot water pre-heating or small heat pumps.  
   – Evaluate battery storage to maximize on‐site consumption of solar electricity.

7. Implement Building Automation and Monitoring  
   – Use a building management system (BMS) or sub-metering to monitor energy flows in real time.  
   – Set up automated controls for HVAC start/stop schedules, setback temperatures and fault detection.

8. Engage Occupants in Energy-Smart Practices  
   – Educate staff or tenants on simple measures: closing doors and windows when heating is on, turning off lights and equipment when not in use, and reporting faults promptly.  
   – Display energy dashboards or monthly performance reports to sustain awareness and drive behavior change.

By following these steps—starting with a professional energy audit and then systematically upgrading insulation, ventilation, technical systems and controls—you’ll target the largest energy losses first and ensure each investment delivers the highest possible return in both cost savings and carbon reduction.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",0,0,"Generic roadmap; explicitly disclaims EPC data; only industry-typical ranges (25-30% roof loss, 90% FTX recovery)."
BRF_ODEN_03_TEKNIKRINGEN_10B_001_HEATING,What is the heating system in my building?,"I could not find enough building data for that address. I can still give general guidance, or you can share another full street address if this one was misspelled.",0,0,Refusal; no claims.
BRF_ODEN_03_TEKNIKRINGEN_10B_001_PERFORMANCE,What is the energy performance of my building?,"I could not find enough building data for that address. I can still give general guidance, or you can share another full street address if this one was misspelled.",0,0,Refusal; no claims.
BRF_ODEN_05_ARTEMISGATAN_17_001_ADVICE,What should my building prioritize to improve energy efficiency?,"Improving a building’s energy efficiency is best approached in a structured way, starting with measures that typically deliver the greatest savings for the lowest investment. Even without detailed information about your particular property, you can follow this general roadmap:

1. Carry out an energy audit or review your EPC  
   – If you have an Energy Performance Certificate (EPC), identify the largest “energy losers.”  
   – A professional audit (thermographic imaging, blower‐door test) pinpoints air leaks, thermal bridges or under-insulated areas.  

2. Optimize the building envelope  
   – Roof and attic insulation: Heat rises, so improving roof insulation often yields quick payback.  
   – Wall insulation: If cavity walls are uninsulated, consider filling; for solid walls, think internal or external insulation.  
   – Floor insulation: Insulate suspended timber or unheated basements to reduce heat loss.  
   – Windows and doors: Upgrade to high-performance double or triple glazing with low-E coatings; ensure tight seals and well-fitting frames.  

3. Improve airtightness and ventilation  
   – Seal cracks around windows, doors, service penetrations and at junctions between floors and walls.  
   – Install or upgrade mechanical ventilation with heat recovery (MVHR) to maintain indoor air quality without dumping warmth.  

4. Upgrade heating, cooling and hot-water systems  
   – Replace old boilers with high-efficiency condensing gas/oil units, or ideally a heat pump (air-source or ground-source).  
   – Insulate hot-water pipes and install a weather-compensated control or smart thermostat to modulate supply.  

5. Enhance controls and lighting  
   – Fit programmable or smart thermostats, zoning controls and occupancy sensors.  
   – Switch to LED lighting and install daylight or motion sensors in corridors and common areas.  

6. Consider renewable energy generation  
   – Solar photovoltaics (PV) to offset electricity consumption.  
   – Solar thermal panels for domestic hot water pre-heating.  
   – Battery storage to maximize self-consumption of on-site generation.  

7. Monitor performance and plan for the long term  
   – Install energy‐monitoring sub-meters to track consumption by heating, ventilation, lighting, etc.  
   – Use the monitoring data to identify further savings opportunities and to verify the impact of measures.  

By following this hierarchy—starting with the envelope, then ventilation/heating systems, then controls and renewables—you’ll typically achieve the best combination of cost-effectiveness and carbon savings. If you can supply your building’s EPC energy class and key metrics such as heated floor area (Atemp) and current heating system, it’s possible to refine these recommendations even further.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",0,0,Generic roadmap; asks the user for EPC class/Atemp instead of asserting them.
BRF_ODEN_05_ARTEMISGATAN_17_001_HEATING,What is the heating system in my building?,"I could not find enough building data for that address. I can still give general guidance, or you can share another full street address if this one was misspelled.",0,0,Refusal; no claims.
BRF_ODEN_10_RADMANSGATAN_31_003_PERFORMANCE,What is the energy performance of my building?,"I found the building, but I do not have enough building data yet for personalized advice. Could you share any more details you have, such as the full address or the specific system you want to ask about?",0,0,Borderline: 'I found the building' asserts identification only; no building attribute or energy fact claimed.
DEMO_EXTRA_BRF_001,What is the energy performance for Artemisgatan 17 in Stockholm?,"I could not find enough building data for that address. I can still give general guidance, or you can share another full street address if this one was misspelled.",0,0,Refusal; no claims.
DEMO_EXTRA_BRF_004,What heating system does Rådmansgatan 31 in Motala have?,"I could not find enough building data for that address. I can still give general guidance, or you can share another full street address if this one was misspelled.",0,0,Refusal; no claims.
DEMO_EXTRA_GEN_004,What does ventilation balancing mean for energy use?,"Ventilation balancing refers to the process of adjusting and fine-tuning the airflow rates in a building’s ventilation system so that each supply and exhaust outlet delivers the intended volume of air. Proper balancing ensures that the system is neither under- nor over-ventilating any zone, and it has several key implications for energy use:

1. Reduced Heat Losses and Gains  
   • When airflow rates match design values, conditioned (heated or cooled) air is delivered only where needed.  
   • Over-ventilation leads to unnecessary heating in winter or cooling in summer, driving up energy consumption.  
   • Under-ventilation can force occupants to open windows for fresh air, bypassing heat-recovery units or mechanical cooling and increasing thermal losses.

2. Improved Heat-Recovery Performance  
   • Many modern ventilation systems include heat- or energy-recovery units that transfer heat between the exhaust and supply air streams.  
   • If airflow is unbalanced, the heat exchanger cannot operate at its optimal effectiveness, reducing the recovered energy and increasing the net heating or cooling load.

3. Lower Fan and Pump Energy  
   • Imbalanced systems often result in higher duct pressures or unexpected leaks, forcing fans to work harder.  
   • Proper balancing minimizes pressure differences and duct losses, so fans can operate closer to their most efficient point on the performance curve.

4. Enhanced Indoor Air Quality with Less Energy  
   • Balanced systems ensure that stale air is removed and fresh air is supplied at the correct rate for occupant density and building usage.  
   • By avoiding over-ventilation, you supply only the necessary outdoor air, reducing the need to heat or cool excess ventilation air.

5. Longer Equipment Life and Reduced Maintenance  
   • When ventilation equipment operates under the correct loads, stresses on fans, motors and control components are minimized.  
   • This reduces maintenance needs, unexpected failures and the associated energy spikes during restart or repair.

In summary, ventilation balancing optimizes both thermal comfort and air quality while minimizing the energy required for heating, cooling and fan operation. Properly balanced systems—including those with heat-recovery ventilation—can cut overall HVAC energy use by 10–30 percent, depending on the building type and climate.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",0,0,Generic definition; 10-30% HVAC saving is an unsourced but industry-typical range.
EKR_GEN_001,Are direct-acting electric radiators energy efficient?,"Direct-acting (also called direct-acting) electric radiators convert nearly 100 % of the electricity they consume into heat at the point of use. However, when assessing their overall energy efficiency and cost-effectiveness, you need to consider several factors:

1. Point-of-use efficiency  
   – Electric radiators themselves are “perfect” heaters in that all incoming electrical energy becomes heat in the room.  
   – There are no flue losses or standby heat losses through water pipes.  

2. Primary (well-to-room) efficiency  
   – If your electricity comes from fossil-fuel power plants, there are generation and transmission losses (typically 25–40 % losses before the electricity reaches your home).  
   – Even with modern combined-cycle gas or renewable sources, some losses occur upstream.  

3. Running costs  
   – Electricity per kWh is often more expensive than district heating, natural gas, or heat‐pump-supplied heat.  
   – Direct-acting electric radiators are therefore usually the most costly way to maintain a comfortable indoor temperature over long periods.  

4. Flexibility and installation  
   – Very simple to install and control (no water circuits, no pumps).  
   – Ideal for intermittent or supplemental heating (e.g., in a seldom-used room, garage or holiday home).  
   – Programmable thermostats and “smart” controls can optimize usage and reduce bills.  

5. Comparison with alternatives  
   – Air-to-air or ground-source heat pumps typically deliver 3–5 kWh of heat per kWh of electricity (COP 3–5), dramatically reducing running costs.  
   – District heating and modern biomass boilers can also be more economical if available.  

Recommendations  
– Use direct-acting electric radiators primarily for occasional or zoning purposes rather than whole-house heating.  
– Combine with time-of-use electricity tariffs, smart controls and good insulation to minimize operating hours and costs.  
– For full-time heating in a permanent residence, consider a heat-pump solution or another lower-cost heat source.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",0,0,Generic; COP 3-5 and upstream grid-loss figures are standard.
