case_id,annotator_id,timestamp_utc,faithfulness,answer_relevance,question_coverage,calibration,overall_pass,notes
EKR_GEN_006,nico,2026-06-10T12:23:32.331926+00:00,10,10,10,10,1,General definition; broadly accurate and answers the question despite no retrieved evidence.
EKR_GEN_019,nico,2026-06-10T12:23:32.331926+00:00,1,0,0,7,0,Does not answer the question. Electricity pricing is a generic topic and does not require a building address.
DEMO_EXTRA_GEN_001,nico,2026-06-10T12:23:32.331926+00:00,9,10,10,10,1,---
EKR_GEN_005,nico,2026-06-10T12:23:32.331926+00:00,10,10,10,10,1,---
BRF_ODEN_06_TEKNIKRINGEN_78B_001_HEATING,nico,2026-06-10T12:23:32.331926+00:00,10,6,8,6,1,you should ask specifically for the address instead of listing all that things
BRF_ODEN_10_RADMANSGATAN_31_003_HEATING,nico,2026-06-10T12:23:32.331926+00:00,10,10,9,10,1,---
DEMO_EXTRA_BRF_002,nico,2026-06-10T12:23:32.331926+00:00,10,9,9,10,1,---
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,nico,2026-06-10T12:23:32.331926+00:00,9,9,9,9,1,---
BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_ADVICE,nico,2026-06-10T12:23:32.331926+00:00,10,10,10,10,1,---
COMB_001,nico,2026-06-10T12:23:32.331926+00:00,9,10,10,10,1,---
BRF_ODEN_02_PROFESSORSSLINGAN_51_001_ADVICE,nico,2026-06-10T12:23:32.331926+00:00,9,10,10,9,1,---
BRF_ODEN_09_PROFESSORSSLINGAN_53_001_ADVICE,nico,2026-06-10T12:23:32.331926+00:00,10,10,10,10,1,---
BRF_ODEN_10_RADMANSGATAN_31_001_AMBIGUOUS,nico,2026-06-10T12:23:32.331926+00:00,10,9,8,7,1,---
CLAR_001,nico,2026-06-10T12:23:32.331926+00:00,10,10,10,10,1,---
BRF_ODEN_01_TULEGATAN_5A_001_AMBIGUOUS,nico,2026-06-10T12:23:32.331926+00:00,9,7,5,5,1,---
