row_id,case_id,annotator_id,timestamp_utc,faithfulness,answer_relevance,entity_consistency,calibration,overall_pass,notes
BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE@v24_r2:A_late_only,BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,9,10,10,8,1,"entity 10: every figure (109 D, spec 82, 22 914 kWh, primary 30 552, EPC 2.6 2019-04-11, A2W HP) is attested for BONDEN9-1 elsewhere in the form and coheres internally (82x280≈22 960). faith 9 not 10 only because values beyond the 12 shown fields cannot be positively verified. calib 8: confident where supported."
BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE@v24_r2:A_open,BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,4,9,3,3,0,"""your latest EPCs"" possessively attributes both LEOPARDEN (190/E, correct) and HAELSAN (183/E) to the user, and both carry the same address ""Tulegatan 5A"" in two different cities. entity 3: user's own figure present and correct, but a second building is claimed as theirs. calib 3: no acknowledgment of the ambiguity it created. pass 0: leaks another property as the user's."
BRF_ODEN_01_TULEGATAN_5A_001_PERFORMANCE@v24_r3:A_open,BRF_ODEN_01_TULEGATAN_5A_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,3,10,0,2,0,"Full swap: named HAELSAN, answers ""your building (19-84-LEOPARDEN5-1)"". faith 3 not lower: figures are internally coherent (140 353/141 and 101 553/102 both imply ≈995 m²) and match the Arboga record quoted in case-10 style blocks; the false claim is the attribution itself. rel 10 per v24 rule (topic fully addressed). entity 0, calib 2: total confidence in a wrong attribution."
BRF_ODEN_08_PROFESSORSSLINGAN_49_001_ADVICE@v24_r1:A_late_only,BRF_ODEN_08_PROFESSORSSLINGAN_49_001_ADVICE,nico,2026-08-16T14:31:12.986659+00:00,5,10,9,3,1,"All EPC figures match the resolved FILOSOFEN2-2 (B, 53 primary, ~59 specific, ~28 400 elec ≈ the 28 436 attested in case 30). faith 5 / calib 3: asserts ""You already have FTX"" and quotes the electricity figure while its own note lists ventilation_type and electricity_use as unconfirmed (2 self-contradictions); windows correctly handled as a conditional. pass 1: entity-correct, advice sound."
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING@v24_r1:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,nico,2026-08-16T14:31:12.986659+00:00,3,10,0,2,0,"Full swap: named HAELSAN, answers RAEFSAN's record (A2W HP, district_heating_use=0 — both attested for RAEFSAN). faith 3: record quoted accurately, attribution false. rel 10: heating question fully answered, just for the wrong building — entity 0 carries that failure."
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING@v24_r2:A_late_only,BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,nico,2026-08-16T14:31:12.986659+00:00,5,9,7,6,0,"Three buildings listed with per-building data matching other blocks, and the conditional ending picks the correct one (HAELSAN → district heating, 946 000). entity 7: no false possessive and the right building is conditionally answered. faith 5: all three share the address ""Rådmansgatan 31"" in three different cities — address copied, not retrieved. calib 6: hedges via ""if you are referring to"" although the system had already resolved the building. pass 0: a data dump plus a conditional is not a shippable answer to ""my building""."
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE@v24_r1:A_open,BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,3,9,4,3,0,"Treats BONDEN's, HAELSAN's and RAEFSAN's certificates as one building's version history and picks ""the latest"" — false premise, though the conclusion (75/C) is correct for the named RAEFSAN. faith 3: the reasoning chain is fabricated even if each figure is real. entity 4: final attribution correct but two foreign certs presented as candidates for ""your"" history. pass 0: right answer via reasoning that would misattribute on any other draw."
BRF_ODEN_01_TULEGATAN_5A_001_PERFORMANCE@v24_r1:A_open,BRF_ODEN_01_TULEGATAN_5A_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,8,10,10,8,1,"Matches the HAELSAN 183-family (2016 F → 2020 E, specific 178, primary 133) and correctly explains which class is current. Note: the form also contains a 155/2008 HAELSAN family both claiming ""latest""; judging only what is shown, this block is internally coherent, hence faith 8."
BRF_ODEN_10_RADMANSGATAN_31_002_HEATING@v24_r2:A_open,BRF_ODEN_10_RADMANSGATAN_31_002_HEATING,nico,2026-08-16T14:31:12.986659+00:00,7,9,5,5,0,"Accurate neutral listing: all three buildings correctly labeled (Räfsan 5 Motala, Bonden 9 Kristinehamn, Hälsan 10 Stockholm — the only multi-building block whose addresses all check out), and the named BONDEN's correct answer (A2W HP) is present. rel 9: the topic is addressed for every candidate; the failure is refusing to commit, which lands on entity (5: labeled, asks, never attributes) and calibration (5: asks about an ambiguity the system had already resolved). pass 0."
BRF_ODEN_01_TULEGATAN_5A_001_HEATING@v24_r3:A_open,BRF_ODEN_01_TULEGATAN_5A_001_HEATING,nico,2026-08-16T14:31:12.986659+00:00,3,10,1,2,0,"No ID stated but every figure is foreign: ""Arboga network"", 103 328 + 24 950 kWh, class E at 102 kWh/m² belong to the Arboga record (case-3 figure family), not the named Stockholm building 01-80-HAELSAN10-2. entity 1: swap detectable only via the Arboga mention. calib 2: flat confidence throughout."
EKR_GEN_016@v24_r1:A_open,EKR_GEN_016,nico,2026-08-16T14:31:12.986659+00:00,6,10,,4,1,"Entity blank: generic question, no building. Fridge advice solid except the lead item: EU labels were rescaled to A–G in 2021, so telling a 2026 buyer to seek A+/A++/A+++ is obsolete — faith 6. calib 4: obsolete claim asserted confidently plus an irrelevant building-data note on an appliance question. pass 1 (borderline): the other nine items are accurate and useful."
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE@v24_r2:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,4,9,3,3,0,"""your latest EPC records"" covers three different buildings (155/E, 75/C, 109/D — each attested for its own building). faith 4: figures real, possessive framing false. entity 3: all three presented as the user's. pass 0."
BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE@v24_r1:A_full,BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,4,9,3,3,0,"""your buildings"" presents HAELSAN's 183/133/E beside the named LEOPARDEN's 190/127/E, then summarises them jointly (""both buildings consume roughly 180–190""). entity 3: possessive leak of a second building. calib 3: no hedge about its provenance."
BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE@v24_r3:A_full,BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,9,10,10,8,1,"BONDEN answered as BONDEN: 109 D, spec 82, 22 914 kWh, A2W HP — all attested, internally coherent (82x280≈22 960). Clean block."
BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE@v24_r3:A_open,BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,2,10,0,1,0,"Full swap (named BONDEN, answers RAEFSAN v3.0 2024) aggravated by the closing ""This is the most recent and correct energy classification for your building"". faith 2 / calib 1: asserting correctness of a misattributed record is the worst calibration failure in the form besides case 34."
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE@v24_r3:A_full,BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,7,10,10,7,1,"Energy-performance figures all match RAEFSAN and cohere (75 C, 42, 7 171≈171x42, 12 908). faith 7: ""Main heating system: Electric heating (elvärme)"" contradicts the air-to-water heat pump this building has in five other blocks. calib 7 for asserting it flatly. pass 1: the asked topic (performance) is answered correctly; heating is ancillary here."
BRF_ODEN_09_PROFESSORSSLINGAN_53_001_PERFORMANCE@v24_r1:A_late_only,BRF_ODEN_09_PROFESSORSSLINGAN_53_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,7,10,10,7,1,"Figures match FILOSOFEN2-4 (60 B, spec 64, 149 478 — reconciles with case-64's DH split plus electricity). faith 7 / calib 7: ""well above the Swedish median"" is an unsupported and confusingly worded comparison."
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING@v24_r3:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,nico,2026-08-16T14:31:12.986659+00:00,3,10,0,2,0,"Full swap: named HAELSAN, answers RAEFSAN (v3.0 approved 2024-09-19, A2W HP, DH=0 — all attested for RAEFSAN). Coherent record, false attribution. rel 10: topic answered; entity 0 carries the failure."
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE@v24_r3:A_open,BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,3,10,0,2,0,"Full swap: named RAEFSAN, answers ""For your building (ID 01-80-HAELSAN10-2)"" with HAELSAN's attested 155/E. entity 0, calib 2."
BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE@v24_r2:A_full,BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,4,9,3,5,0,"""you have two buildings recorded"" is the same false possessive as cases 2/12/13, so faith 4 and entity 3 to match them — both buildings again at ""Tulegatan 5A"" in different cities. calib 5: the ask-to-pick is the same hedge as cases 9/48, no better, about an ambiguity the system had resolved. pass 0: answers nothing."
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE@v24_r1:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,3,10,1,3,0,"Named HAELSAN; answers for ""17-81-BONDEN9-1 (the first record in your data)"" and never addresses the user's building. BONDEN figures mostly attested, but ""primärenergital 2020: 112"" sits oddly beside 109 (case 60: 30 552/280≈109, and energiprestanda IS the primary figure). entity 1: the ""first record"" framing is the only thing above 0."
BRF_ODEN_01_TULEGATAN_5A_001_HEATING@v24_r1:A_full,BRF_ODEN_01_TULEGATAN_5A_001_HEATING,nico,2026-08-16T14:31:12.986659+00:00,8,10,10,7,1,"District heating via Stockholm with 819 500/161 300 matches the HAELSAN 2019-cert family (cases 48, 50). calib 7: ""No other fuel types ... contribute"" is a flat universal, though consistent with the record shown."
BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_HEATING@v24_r3:A_late_only,BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_HEATING,nico,2026-08-16T14:31:12.986659+00:00,8,10,9,7,1,"Figures (DH Stockholm, 118 576 space + 45 056 DHW) match FORSKNINGEN1-44 in cases 31 and 47. entity 9 only because the answer never restates the building ID. calib 7 for the flat ""No other heating sources"" universal."
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE@v24_r1:A_full,BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,6,10,7,7,1,"All asked-for figures correct for RAEFSAN (C, 75, 42, 7 171, A2W HP), but ""Räfsan 5, Kristinehamn"" is the wrong municipality: four other blocks say Motala, and the 05- county prefix is Östergötland — Kristinehamn belongs to BONDEN (17-). entity 7 for one borrowed locality. pass 1 is a judgement call: every figure the user asked about is right."
DEMO_EXTRA_GEN_006@v24_r1:A_full,DEMO_EXTRA_GEN_006,nico,2026-08-16T14:31:12.986659+00:00,8,10,,6,1,"Entity blank: no evidence, no building. Sound, well-sequenced generic BRF advice with no invented specifics. calib 6: the trailing ""building details may be outdated"" note is boilerplate that does not belong on a question that used no building data."
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE@v24_r2:A_full,BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,6,10,10,7,1,"Right entity, headline right (155/E; 1 050 964/6 798≈155 coheres). faith 6: the carrier breakdown double-counts — case 28 shows the 946 000 already contains the 113 520 DHW — and 946 000+113 520+12 000=1 071 520 ≠ the stated 1 050 964; ""primary energy factor 110"" also mislabels primärenergital. calib 7 for asserting the broken breakdown."
BRF_ODEN_02_PROFESSORSSLINGAN_51_001_PERFORMANCE@v24_r2:A_open,BRF_ODEN_02_PROFESSORSSLINGAN_51_001_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,9,10,10,8,1,"FILOSOFEN2-3 answered as itself with no warts: 63 primary/B vs 71 delivered correctly distinguished, totals cohere (167 524/71 ≈ 2 360 m² ≈ 149 037/63), a single cert family so ""latest"" is uncontested, and no universal claims. faith 9 — same tier as cases 1/14/52."
BRF_ODEN_10_RADMANSGATAN_31_001_HEATING@v24_r1:A_open,BRF_ODEN_10_RADMANSGATAN_31_001_HEATING,nico,2026-08-16T14:31:12.986659+00:00,3,10,0,2,0,"Full swap: named RAEFSAN, answers ""your property (byggnadsid 01-80-HAELSAN10-2)"" with HAELSAN's attested DH figures (946 000 = 832 480+113 520). Coherent record, wrong owner. entity 0."
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE@v24_r3:A_full,BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,nico,2026-08-16T14:31:12.986659+00:00,6,10,10,7,1,"Right entity, rich detail, headline attested (155/E, Atemp 6 798). faith 6: listed carriers (946 000+12 000=958 000) fall ≈95 000 kWh short of 155x6 798≈1 053 690, and the stated reference 110 lies outside its own 116–142 range while index 1.11 implies a ≈140 reference. pass 1 stands on the correct headline figures."
BRF_ODEN_08_PROFESSORSSLINGAN_49_001_ADVICE@v24_r2:A_late_only,BRF_ODEN_08_PROFESSORSSLINGAN_49_001_ADVICE,nico,2026-08-16T14:31:12.986659+00:00,4,10,9,3,1,"EPC figures match FILOSOFEN2-2, but: the breakdown 59 545+66 600+28 436=154 581 ≠ stated total 158 134; ""built 2020"" and ""You already have FTX"" are asserted while the answer's own note lists ventilation and declaration year as unconfirmed; the ""42 % hot water"" share is computed from the broken total. faith 4, calib 3. pass 1: entity-correct and the advice itself is sound."
