case_id,case_type,expected_route,expected_agent,expected_building_id,expected_fields,source
GEN_001,general_energy_advice,generic,GenericAgent,,,
GEN_002,energy_declaration_explanation,generic,GenericAgent,,,
BRF_FACT_001,building_specific_factual,building_specific,BuildingAgent,abc-123,"['energy_performance', 'energy_class']",
BRF_FACT_002,building_specific_factual,building_specific,BuildingAgent,abc-123,['heating_system'],
COMB_001,combined,combined,BuildingAgent,abc-123,"['heating_system', 'energy_performance', 'energy_class']",
CLAR_001,clarification,clarification,BuildingAgent,,,
EKR_GEN_001,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_002,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_003,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_004,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_005,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_006,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_007,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_008,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_009,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_010,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_011,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_012,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_013,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_014,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_015,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_016,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_017,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_018,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
EKR_GEN_019,ekr_general_question_bank,generic,GenericAgent,,,qa-ekr.csv
