case_id,expected_route,question,final_answer,retrieved_evidence_summary,judge_verdict,judge_composite,judge_faithfulness,judge_answer_relevance,judge_question_coverage,judge_calibration,judge_semantic_judge_pass
EKR_GEN_006,generic,What does energy-efficiency improvement mean?,"Energy-efficiency improvement refers to any measure or upgrade that reduces the amount of energy required to perform the same function—whether that function is heating, cooling, lighting or running equipment—while maintaining or improving comfort and performance. In the context of buildings, common energy-efficiency improvements include:

• Upgrading the building envelope  
  – Adding or enhancing insulation in walls, roofs and floors  
  – Replacing single-glazed windows with double- or triple-glazed units  
  – Sealing air leaks around doors, windows and penetrations  

• Optimizing heating, ventilation and air-conditioning (HVAC) systems  
  – Installing high-efficiency boilers, furnaces or heat pumps  
  – Upgrading controls and thermostats for better temperature regulation  
  – Balancing ductwork and improving airflow  

• Installing efficient lighting and appliances  
  – Switching to LED or other low-energy lighting technologies  
  – Choosing Energy Star or equivalent certifie",(no evidence retrieved),fail,7.25,1,10,10,8,False
EKR_GEN_019,generic,How does my electricity use affect my electricity price?,"To give building-specific advice safely, I need the full building address.",(no evidence retrieved),pass,,,,,,True
DEMO_EXTRA_GEN_001,generic,How can we reduce standby electricity use in shared spaces?,"Here are several well-established, general best practices for cutting standby (vampire) loads in shared or common areas such as lounges, kitchens, meeting rooms and corridors:

1. Centralized Power-Off Controls  
   • Install master switches or lockable disconnects in utility cupboards or next to entrance doors so that all non-essential equipment (coffee machines, AV gear, chargers, etc.) can be powered down at end-of-day.  
   • Use smart power strips with a “master” outlet: when the primary device (e.g. a computer) is turned off, all downstream sockets lose power.

2. Occupancy and Schedule-Based Automation  
   • Fit motion or presence sensors that automatically cut power or switch off non-critical lighting and equipment after a period of inactivity.  
   • Use your building management system (BMS) or dedicated timers to enforce “office hours” shut-off, ensuring devices don’t remain in standby overnight or at weekends.

3. Equipment Selection and Default Settings  
   • When replaci",(no evidence retrieved),fail,6.5,1,9,10,6,False
EKR_GEN_005,generic,What is an energy declaration?,"Below is a general description of an energy declaration (in Swedish: energideklaration). This overview is based on publicly available information from the Swedish Energy Agency and the EU’s Energy Performance of Buildings Directive (2010/31/EU). 

1. Purpose  
   • Ensure transparency about a building’s energy performance when it is constructed, sold or rented.  
   • Help owners and occupants identify cost-effective measures to reduce energy use and associated emissions.  

2. Legal Framework (Sweden)  
   • Regulated by the Act (2006:985) on Energy Declarations for Buildings.  
   • Implements the EU’s Energy Performance of Buildings Directive.  

3. Main Contents  
   • Building description: geometry, heated floor area (Atemp), number of floors and stairwells.  
   • Technical systems: heating, ventilation, cooling and lighting installations.  
   • Calculated energy use: expressed in kWh per square meter and year (kWh/m²·year).  
   • Energy performance class: graded on a scale (co",(no evidence retrieved),pass,8.0,4,9,10,9,True
BRF_ODEN_06_TEKNIKRINGEN_78B_001_HEATING,building_specific,What is the heating system in my building?,"I’m sorry, but the data you’ve provided doesn’t include any details on your building’s heating system. In Sweden, the heating system type is normally recorded in the energy performance certificate (energideklaration), under the section “Värmesystem.” 

To find out what heating system your building uses, you can:

• Look up the building’s EPC (energideklaration) via Boverket’s or your municipality’s online register.  
• Check the “Värmesystem” field in the EPC document—it will specify whether you have district heating, a heat pump, biomass boiler, electric radiators, etc.  
• Provide the EPC record (or at least the “Värmesystem” entry) here, and I can help interpret it for you.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",(no evidence retrieved),pass,,,,,,True
BRF_ODEN_10_RADMANSGATAN_31_003_HEATING,building_specific,What is the heating system in my building?,"I’m sorry, but I don’t have any information on your building’s heating system—your request arrived without any building or EPC data. To answer, I would normally look for the relevant field in the Energy Performance Certificate (EPC), for example a “heating system” or “värme­system” entry. 

Please provide one of the following so I can help you further:
• Your building’s EPC record (including the heating system field)  
• The building ID (byggnadsid) or property number (fastighetsnummer) so I can look up the EPC details  

With that information, I can tell you exactly what heating system is installed.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",pass,,,,,,True
DEMO_EXTRA_BRF_002,building_specific,What heating system does Teknikringen 37A in Stockholm have?,"I’m sorry, but I don’t have any EPC or building‐system data for Teknikringen 37A in Stockholm in the information provided. If you can supply the building’s energy performance certificate details or other technical documentation, I’ll be happy to look up the heating system for you.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",(no evidence retrieved),pass,,,,,,True
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,building_specific,What is the heating system in my building?,"According to the latest energy performance data for your property (Building ID 17-81-BONDEN9-1), the building’s primary heating system is an air-to-water heat pump.  There is no district-heating connection (district_heating_use = 0).

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",pass,10.0,10,10,10,10,True
BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_ADVICE,combined,What should my building prioritize to improve energy efficiency?,"Based on your latest energy performance certificate (EPC 2022) the building’s primary energy use is 79 kWh/m²·year (class D) and the total delivered energy is about 91 kWh/m²·year. Roughly 60 % of that is space heating (≈118 600 kWh), 23 % is domestic hot water (≈45 000 kWh) and the remaining 17 % is electricity for fans, pumps, lighting and other loads. To move towards class C and beyond, you should prioritize measures in the following order:

1. Improve the thermal envelope  
   • Upgrade or add insulation to exterior walls, roof and basements to reduce heat losses.  
   • Replace or retrofit windows and doors with low-U-value glazing and ensure good airtightness around frames.  
   • Seal thermal bridges (e.g. at balconies and joints) and close infiltration paths.

2. Optimize the space-heating system  
   • Fine-tune your district-heating control strategy: lower flow temperatures, install weather-compensated controls and thermostatic radiator valves.  
   • Balance and commission t","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",pass,9.5,9,10,10,9,True
COMB_001,combined,What should our building prioritize if we want to reduce heating costs?,"Since we don’t have specific energy-performance data for your building (for example the current EPC energy class, heated floor area or construction details), the following priorities are general recommendations for most building types. You can tailor them later once you have your EPC report or a professional audit.

1. Improve the thermal envelope  
   • Roof insulation – heat rises, so an under-rafter or attic upgrade often yields large savings.  
   • Wall insulation – cavity-wall or external/internal insulation can cut transmission losses by 30–50 %.  
   • Floor insulation – especially for uninsulated ground floors or suspended timber floors.

2. Increase airtightness and seal leaks  
   • Locate and seal gaps around windows, doors, service penetrations and junctions.  
   • Install weather-stripping on exterior doors and airtight membranes in critical areas.

3. Upgrade windows and exterior doors  
   • High-performance double or triple glazing with low-e coatings and insulated fr",(no evidence retrieved),fail,7.75,3,9,10,9,False
